Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SMF9.0CA","D_SOD-123_Bidirectional",2.702854,-2.633465,180.000000,top
"F1","ASMD1206-150","Fuse_1206_3216Metric",2.672854,-2.488465,-90.000000,top
"J1","TYPE-C-31-M12_13","TYPE-C-31-M-12",2.952854,-2.552874,180.000000,top
"J2","SM04B-SRSS-TB(LF)(SN)","JST-SR-4",2.952933,-2.865866,0.000000,top
"L1","60R@100MHz","L_1206_3216Metric",3.227854,-2.593465,90.000000,top
"R1","5.1k","R_0603",3.067854,-2.642874,-90.000000,top
"R2","5.1k","R_0603",2.832854,-2.642874,-90.000000,top
"U1","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm",2.952854,-2.599465,90.000000,top
